      Magnets           dBLdI        DesignNumber   
                        T*m/A                         
---------------------------------------------------
       CH2YG6C19B   5.440000e-04  SR-MG-CRR-1560-V 
       CH2XG6C19B   5.090000e-04  SR-MG-CRR-1560-H 
       CH1YG6C19B   5.520000e-04  SR-MG-CRR-1000-V 
       CH1XG6C19B   4.550000e-04  SR-MG-CRR-1000-H 
       CH1XG2C20A   4.560000e-04  SR-MG-CRR-1001-H 
       CH1YG2C20A   5.530000e-04  SR-MG-CRR-1001-V 
       CH2XG2C20A   5.090000e-04  SR-MG-CRR-1560-H 
       CH2YG2C20A   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C20A   4.550000e-04  SR-MG-CRR-1000-H 
       CM1YG4C20A   5.520000e-04  SR-MG-CRR-1000-V 
       CM1YG4C20B   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C20B   5.090000e-04  SR-MG-CRR-1560-H 
       CL2YG6C20B   5.520000e-04  SR-MG-CRR-1000-V 
       CL2XG6C20B   4.550000e-04  SR-MG-CRR-1000-H 
       CL1YG6C20B   5.520000e-04  SR-MG-CRR-1000-V 
       CL1XG6C20B   4.550000e-04  SR-MG-CRR-1000-H 
       CL1XG2C21A   4.550000e-04  SR-MG-CRR-1000-H 
       CL1YG2C21A   5.520000e-04  SR-MG-CRR-1000-V 
       CL2XG2C21A   4.550000e-04  SR-MG-CRR-1000-H 
       CL2YG2C21A   5.520000e-04  SR-MG-CRR-1000-V 
       CM1XG4C21A   4.560000e-04  SR-MG-CRR-1001-H 
       CM1YG4C21A   5.530000e-04  SR-MG-CRR-1001-V 
       CM1YG4C21B   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C21B   5.090000e-04  SR-MG-CRR-1560-H 
       CH2YG6C21B   5.440000e-04  SR-MG-CRR-1560-V 
       CH2XG6C21B   5.090000e-04  SR-MG-CRR-1560-H 
       CH1YG6C21B   5.520000e-04  SR-MG-CRR-1000-V 
       CH1XG6C21B   4.550000e-04  SR-MG-CRR-1000-H 
       CH1XG2C22A   4.560000e-04  SR-MG-CRR-1001-H 
       CH1YG2C22A   5.530000e-04  SR-MG-CRR-1001-V 
       CH2XG2C22A   5.090000e-04  SR-MG-CRR-1560-H 
       CH2YG2C22A   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C22A   4.550000e-04  SR-MG-CRR-1000-H 
       CM1YG4C22A   5.520000e-04  SR-MG-CRR-1000-V 
       CM1YG4C22B   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C22B   5.090000e-04  SR-MG-CRR-1560-H 
       CL2YG6C22B   5.520000e-04  SR-MG-CRR-1000-V 
       CL2XG6C22B   4.550000e-04  SR-MG-CRR-1000-H 
       CL1YG6C22B   5.520000e-04  SR-MG-CRR-1000-V 
       CL1XG6C22B   4.550000e-04  SR-MG-CRR-1000-H 
       CL1XG2C23A   4.550000e-04  SR-MG-CRR-1000-H 
       CL1YG2C23A   5.520000e-04  SR-MG-CRR-1000-V 
       CL2XG2C23A   4.550000e-04  SR-MG-CRR-1000-H 
       CL2YG2C23A   5.520000e-04  SR-MG-CRR-1000-V 
       CM1XG4C23A   4.560000e-04  SR-MG-CRR-1001-H 
       CM1YG4C23A   5.530000e-04  SR-MG-CRR-1001-V 
       CM1YG4C23B   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C23B   5.090000e-04  SR-MG-CRR-1560-H 
       CH2YG6C23B   5.440000e-04  SR-MG-CRR-1560-V 
       CH2XG6C23B   5.090000e-04  SR-MG-CRR-1560-H 
       CH1YG6C23B   5.520000e-04  SR-MG-CRR-1000-V 
       CH1XG6C23B   4.550000e-04  SR-MG-CRR-1000-H 
       CH1XG2C24A   4.560000e-04  SR-MG-CRR-1001-H 
       CH1YG2C24A   5.530000e-04  SR-MG-CRR-1001-V 
       CH2XG2C24A   5.090000e-04  SR-MG-CRR-1560-H 
       CH2YG2C24A   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C24A   4.550000e-04  SR-MG-CRR-1000-H 
       CM1YG4C24A   5.520000e-04  SR-MG-CRR-1000-V 
       CM1YG4C24B   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C24B   5.090000e-04  SR-MG-CRR-1560-H 
       CL2YG6C24B   5.520000e-04  SR-MG-CRR-1000-V 
       CL2XG6C24B   4.550000e-04  SR-MG-CRR-1000-H 
       CL1YG6C24B   5.520000e-04  SR-MG-CRR-1000-V 
       CL1XG6C24B   4.550000e-04  SR-MG-CRR-1000-H 
       CL1XG2C25A   4.550000e-04  SR-MG-CRR-1000-H 
       CL1YG2C25A   5.520000e-04  SR-MG-CRR-1000-V 
       CL2XG2C25A   4.550000e-04  SR-MG-CRR-1000-H 
       CL2YG2C25A   5.520000e-04  SR-MG-CRR-1000-V 
       CM1XG4C25A   4.560000e-04  SR-MG-CRR-1001-H 
       CM1YG4C25A   5.530000e-04  SR-MG-CRR-1001-V 
       CM1YG4C25B   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C25B   5.090000e-04  SR-MG-CRR-1560-H 
       CH2YG6C25B   5.440000e-04  SR-MG-CRR-1560-V 
       CH2XG6C25B   5.090000e-04  SR-MG-CRR-1560-H 
       CH1YG6C25B   5.520000e-04  SR-MG-CRR-1000-V 
       CH1XG6C25B   4.550000e-04  SR-MG-CRR-1000-H 
       CH1XG2C26A   4.560000e-04  SR-MG-CRR-1001-H 
       CH1YG2C26A   5.530000e-04  SR-MG-CRR-1001-V 
       CH2XG2C26A   5.090000e-04  SR-MG-CRR-1560-H 
       CH2YG2C26A   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C26A   4.550000e-04  SR-MG-CRR-1000-H 
       CM1YG4C26A   5.520000e-04  SR-MG-CRR-1000-V 
       CM1YG4C26B   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C26B   5.090000e-04  SR-MG-CRR-1560-H 
       CL2YG6C26B   5.520000e-04  SR-MG-CRR-1000-V 
       CL2XG6C26B   4.550000e-04  SR-MG-CRR-1000-H 
       CL1YG6C26B   5.520000e-04  SR-MG-CRR-1000-V 
       CL1XG6C26B   4.550000e-04  SR-MG-CRR-1000-H 
       CL1XG2C27A   4.550000e-04  SR-MG-CRR-1000-H 
       CL1YG2C27A   5.520000e-04  SR-MG-CRR-1000-V 
